Date,Location,Aircraft,Tail number,Airline division,Aircraft damage,Fatalities,Description,Refs
3 May 1973,North Pole,Li-2T,CCCP-04244,Yakut,W/O,0/9,"The aircraft took off from North Pole-21 drifting station to an ice floe in an area called ""Point 4"". After landing on the ice floe, the thickness was measured at 55 cm (22 in). The aircraft was parked and experiments began. When the ice was drilled to install instruments, the thickness was found to be 47 cm (19 in). Realizing that the ice was too thin for the aircraft to stay parked long-term, the crew decided to fly to another ice floe. The aircraft taxied to the end of the airstrip for takeoff, but it broke through the ice. The crew set up camp and were rescued by an An-2 two days later.",[149]
7 May 1973,Vnukovo Airport,Tu-154,CCCP-85030,Moscow,W/O,0/4,"During a training flight, the crew took off with the inner spoilers deployed. This caused severe vibrations and a loss of power in two engines. The crew made a forced landing in a forest.",[150]
11 May 1973,Off Semipalatinsk,Il-18B,CCCP-75687,Azerbaijan,W/O,63/63,"The aircraft was en route a domestic scheduled Tashkent–Novosibirsk passenger service as Flight 6551, when it crashed 84 kilometres (52 mi) south of Semipalatinsk, after it broke up at 5,000 metres (16,000 ft), possibly due to a steep emergency descent.",[151]
11 May 1973,Kursk,An-2M,CCCP-05915,Central,W/O,0,Force-landed following engine failure.,[152][153]
14 May 1973,Vologda,An-2R,CCCP-70569,Northern,W/O,0,Crashed. The aircraft was overloaded.,[154]
18 May 1973,Off Chita,Tu-104B,CCCP-42379,East Siberia,W/O,82/82,"Was hijacked en route a domestic scheduled Irkutsk–Chita passenger service as Flight 109 by a passenger who demanded to be flown to China. A bomb this passenger held detonated, and the aircraft broke up and crashed east of Lake Baikal, 97 kilometres (60 mi) west of Chita.",[155][156]
20 May 1973,Starobeshevo District,An-2R,CCCP-55798,Ukraine,W/O,1/2,"While on a crop-spraying flight for the ""Gornyak"" state farm, the aircraft lost altitude, crashed and caught fire while performing a right turn at 50 m (160 ft).",[157]
21 June 1973,Abakan,An-2R,CCCP-09228,Krasnoyarsk,W/O,2/3,"While on a crop-spraying flight for the ""Rossiya"" state farm, the aircraft entered a downward spiral while turning at 15–20 m (49–66 ft) and crashed in a field.",[158]
25 June 1973,Irkutsk,An-2R,CCCP-32558,East Siberia,W/O,0,Struck obstacles while flying too low.,[159]
30 June 1973,Amman,Tu-134A,CCCP-65668,Armenia,W/O,9/85,"Crashed into a house and broke in three after it failed to get airborne at Marka International Airport. The aircraft was due to operate a scheduled Amman–Beirut international passenger service as Flight 512. Two occupants of the aircraft died, as well as seven people on the ground.",[160][161]
4 July 1973,Off Shakhtyorsk,Il-14M,CCCP-91534,Far East,W/O,18/18,Flew into the side of a mountain 53 kilometres (33 mi) away from Shakhtyorsk when it made a premature descent.,[162]
9 July 1973,Kuybyshev,Tu-124V,CCCP-45062,Privolzhsk,Repaired,2/61,"Eleven minutes after takeoff from Kuybyshev Airport, while climbing to 6,600 m (21,700 ft), the right engine suffered an uncontained failure. Debris penetrated the fuselage, killing two passengers and injuring another four. Panicking passengers moved towards the front, causing the center of gravity to move forward. The passengers were seated and the aircraft landed safely. The aircraft was operating a Kuybyshev-Simferopol passenger service as Flight 5385.",[163][164]
20 July 1973,Saatli District,An-2T,CCCP-79827,Azerbaijan,W/O,1/2,"During crop-spraying the engine failed at 20–25 m (66–82 ft) due to a bird strike. Because of the terrain, a forced landing was not possible. While the crew was performing a left turn the aircraft struck a canal embankment and crashed.",[165]
26 July 1973,Ordzhonikidze,An-2R,CCCP-35559,North Caucasus,W/O,0,Crashed after the pilot failed to recover from a stall.,[166]
2 August 1973,Shakhty,An-2R,CCCP-70807,North Caucasus,W/O,0,Hard landing.,[167]
2 August 1973,Chumikan,An-2R,CCCP-33242,Far East,W/O,0,Crashed due to engine failure.,[168]
8 August 1973,Arkhangelsk Airport,Yak-40,CCCP-87790,Arkhangelsk,W/O,1/31,"On takeoff, the crew attempted to lift the nose of the aircraft, but the elevators were locked. The aircraft ran off the runway, running through shrubs, striking the localizer antenna and finally crashing into a concrete and catching fire. An electrical failure caused the elevators to lock during takeoff; the pilot should have aborted the takeoff rather than continue. Due to operate a domestic scheduled Arkhangelsk–Kotlas passenger service as Flight A-547.",[169]
13 August 1973,Uelen,An-2,CCCP-23722,Magadan,W/O,0,Crashed in poor weather.,[170]
16 August 1973,Kotui River,An-2V,CCCP-41373,Krasnoyarsk,W/O,0,Crashed on the bank of the Kotui River while flying too low.,[171]
18 August 1973,Off Baku,An-24B,CCCP-46435,Azerbaijan,W/O,56/64,"Shortly after takeoff from Baku Airport the left engine failed. The crew retracted the flaps and began a left turn, but while turning the left wingtip struck a cable on an oil rig at Neftyanyye Kamni oilfield. The aircraft entered a descent, striking a pipeline and crashed near a highway and caught fire. The aircraft was operating a domestic scheduled Baku–Fort-Shevchenko passenger service as Flight A-13.",[172]
29 August 1973,Nerkha,An-2R,CCCP-28954,East Siberia,W/O,0,Crashed while flying too low.,[173]
30 August 1973,Kyzyl,An-2TP,CCCP-09649,Krasnoyarsk,W/O,0,Crashed while flying at low altitude.,[174]
8 September 1973,Bogashevo Airport,An-2R,CCCP-41913,West Siberia,W/O,3/3,"During a training flight, the aircraft banked left at 100–120 m (330–390 ft), rapidly lost altitude, and crashed 230 m (750 ft) short of the runway and caught fire.",[175]
15 September 1973,Samarkand region,An-2R,CCCP-32213,Privolzhsk,W/O,0,"On takeoff, the landing gear hit an earth wall and the aircraft crashed.",[176]
30 September 1973,Sverdlovsk,Tu-104B,CCCP-42506,Uzbekistan,W/O,108/108,Loss of control following take-off from Koltsovo Airport. Due to operate a domestic scheduled Sverdlovsk–Khabarovsk passenger service as Flight 3932.,[177]
2 October 1973,Magadan,An-12TB,CCCP-12967,Yakut,W/O,10/10,Deviated some 6 kilometres (3.7 mi) from the extended centerline on approach to Magadan Airport and crashed into a hillside. The aircraft was operating a Yakutsk-Magadan cargo service as Flight 10178F.,[178][179]
5 October 1973,Mount Khuuta,An-2,CCCP-04340,Tyumen,W/O,0/8,During a flight from Mys Kamenny to Vorkuta in support of a military unit the crew intentionally deviated from the fight route by 45 km (28 mi). The crew descended to 300 m (980 ft) in poor visibility and struck the side of Mount Khuuta. All eight on board survived and were evacuated by helicopters.,[180]
10 October 1973,Tashauz,Li-2,CCCP-71209,Turkmenistan,W/O,5/5,"Crashed soon after departing from Tashauz Airport, following a double engine failure. Due to fly a Tashauz–Darvaza cargo service. All civil Li-2s were retired as a result of this accident.",[181]
11 October 1973,Goris,An-2,CCCP-70880,Armenia,W/O,0,Crashed while flying too low.,[182]
13 October 1973,Moscow,Tu-104B,CCCP-42486,Georgia,W/O,122/122,The aircraft was about to complete a domestic scheduled Tbilisi–Moscow passenger service as Flight 964 when it crashed on approach to Domodedovo Airport following an electrical power failure. This crash is the worst ever accident involving the Tu-104.,[183][184]
20 October 1973,Kazan Airport,Tu-124V,CCCP-45031,Privolzhsk,W/O,0,"The aircraft touched down too late and too fast on a snow-covered runway. Unable to slow down, the aircraft ran off the runway, struck an obstacle and came to rest 617 m (2,024 ft) from the end of the runway. Cause attributed to crew errors.",[185][186]
25 October 1973,Nyrob,An-2R,CCCP-01609,Ural,W/O,0,Crashed on takeoff due to overloading.,[187]
27 October 1973,Kolpashevo,An-2P,CCCP-70408,West Siberia,W/O,0,Crashed on takeoff after the aircraft had not been completely de-iced.,[188]
2 November 1973,Moscow,Yak-40,CCCP-87607,Central,Unknown,2/31,"Ten minutes before landing at Bryansk, inbound from Moscow as Flight 19, the aircraft was hijacked by four hijackers that demanded money and to be flown to Sweden. After taking the passengers as hostages, the hijackers attempted to storm the cockpit. After determining that there were hijackers on board, the pilot shouted the information to the crew and locked the cockpit door. The hijackers managed to break the lock on the door and demanded the crew fly to Moscow. While on the way to Moscow, the hijackers demanded a US$1.5 million ransom for all hostages as well as information on future airliner hijacking groups. Despite bad weather at Moscow, the aircraft landed safely. Negotiations began and two injured hostage were released, but the hijackers issued more demands: the aircraft be refueled and be given half the ransom for releasing half of the hostages. The hijackers then planned to fly to Leningrad, release the remaining hostages and refuel for the flight to Sweden. It was decided to storm the aircraft and five policemen hid a suitcase of fake money near the aircraft. Several hours later the hijackers were informed that the authorities were ready to transfer the money. One hijacker opened the cabin door and another hijacker opened fire on the officers, who returned fire. One hijacker died of his injuries. The aircraft was struck by machine gun fire from an APC, suffering 90 hits. Tear gas was thrown inside, but one got stuck between the seats, starting a fire. Passengers panicked and fled the aircraft along with two of the hijackers; the fourth hijacker committed suicide. Two passengers were injured, but all survived.",[189]
4 November 1973,Kirensk,An-2,CCCP-41978,East Siberia,W/O,0,Force-landed due to engine failure.,[190]
7 December 1973,Moscow,Tu-104B,CCCP-42503,Georgia,W/O,16/75,"Inbound from Kutaisi at above-normal speed, the aircraft crashed when one wing touched the ground as the crew tried to slow it down for landing at Domodedovo Airport. The aircraft was operating a domestic scheduled Kutaisi-Moscow passenger service as Flight 964.",[191][192]
16 December 1973,Karacharovo,Tu-124V,CCCP-45061,Lithuania,W/O,51/51,"On approach to Vnukovo Airport inbound from Vilnius, control was lost at 8,000 m (26,000 ft) due to a short circuit in the elevator trim system. The aircraft was operating a domestic passenger service as Flight 2022.",[193][194]
19 December 1973,Sanatorny,An-2R,CCCP-40521,Ural,W/O,2/2,While en route to Shurma the aircraft encountered poor weather with snow and bad visibility. The aircraft encountered severe icing conditions between Urzhum and Shurma. Control was lost due to icing and the aircraft crashed in a snow-covered field.,[195]
21 December 1973,Yerevan,Yak-40,CCCP-87629,Armenia,W/O,0,Hard landing in fog at Erebuni Airport.,[196]
23 December 1973,Vynnyky,Tu-124V,CCCP-45044,Privolzhsk,W/O,17/17,"Strong vibrations created by a defective turbine blade in one engine caused the rupture of the fuel line, starting a in-flight fire in the airframe, that was due to operate a domestic scheduled Lvov–Kiev passenger service as Flight 5398. The aircraft crashed near Vynnyky shortly after takeoff from Sknyliv Airport.",[197][198]
24 December 1973,Khantaiskoye Ozero,An-2V,CCCP-32448,Krasnoyarsk,W/O,1/2,"The aircraft was operating a Dudinka–Khantaiskoye Ozero cargo service. The crew cut the route short, but could not establish their position due to poor visibility. The crew did not realize that the frequency of the radio beacon at their destination had been changed. While descending, the aircraft struck a mountain slope at 1,016 m (3,333 ft).",[199]
1974, Antarctica,Li-2T,CCCP-04342,Yakut,W/O,Unknown,Crashed.,[200]
6 January 1974,Mukachevo,An-24B,CCCP-46357,Ukraine,W/O,24/24,"Was operating a domestic scheduled Ivano-Frankovsk–Uzhgorod passenger service as Flight H-75 when it attempted to land at the Mukachevo Air Base as the airport of destination was temporarily closed. On approach, the aircraft flew through clouds in icing conditions, yet the de-icing system was switched off; it lost longitudinal stability and crashed.",[201][202]
22 January 1974,Yegorlykskaya District,An-2R,CCCP-33225,North Caucasus,W/O,2/2,"While crop-spraying for the ""im. Kirova"" state farm in poor weather with poor visibility, the pilot descended to locate the airstrip but the aircraft crashed in a snow-covered field and burned out.",[203]
25 January 1974,Rostov-on-Don,An-24B,CCCP-46277,Privolzhsk,W/O,4/4,Crashed after takeoff from Rostov Airport.,[204]
5 February 1974,Makhachkala,An-2R,CCCP-01579,North Caucasus,W/O,0,Crashed in poor weather.,[205]
22 March 1974,Kirov Airport,Li-2,CCCP-73960,Ural,W/O,3/9,Crashed shortly after take-off due to an engine failure.,[206]
6 April 1974,Ust-Kuyga,Avia 14P,CCCP-52053,Yakut,W/O,0/18,Unintentional retraction of the landing gear.,[207]
9 April 1974,Kazan,Yak-40,CCCP-87369,Privolzhsk,W/O,0/34,Crashed at Kazan Airport after an engine fire.,[208][209]
16 April 1974,Kutaisi,An-2,CCCP-33085,Georgia,W/O,0,"Caught in a downdraft over mountainous terrain, the aircraft lost altitude and crashed.",[210]
27 April 1974,Leningrad,Il-18V,CCCP-75559,Leningrad,W/O,109/109[nb 6],"Crashed shortly after takeoff from Pulkovo Airport, during initial climbout, following a failure of the outer starboard engine. An asymmetric retraction of the flaps, amid a strong vibration of the airframe, led to the loss of control of the aircraft, which was due to operate a domestic scheduled Leningrad–Krasnodar passenger service.",[211][212]
1 May 1974,North Pole-22,An-12B,CCCP-12950,Krasnoyarsk,W/O,1/16,"Hit an ice pinnacle during an emergency take-off, crashing and catching fire.",[213]
2 May 1974,Rostov-on-Don,Yak-40,CCCP-87398,Central,W/O,1/38,Crashed following an aborted take-off at Rostov Airport. The aircraft was operating a Lipetsk-Rostov on Don-Mineralnye Vody passenger service as Flight 1255.,[214][215]
9 May 1974,Ivano-Frankovsk,Il-18V,CCCP-75425,Ural,W/O,0/75,"The aircraft overran the 500-metre-long (1,600 ft) airstrip it was mistakenly landed on at Ivano-Frankovsk Airport, ending up in a ravine and breaking in two.",[216]
13 May 1974,Crimea,An-2,CCCP-23664,Ukraine,W/O,0,Struck a mountain. The crew were attempting to cut their route short over mountains.,[217]
19 May 1974,Samarkand region,An-2SKh,CCCP-25487,Uzbekistan,W/O,0,Fell back on the runway during a tail-wind takeoff.,[218]
23 May 1974,Gorenychi,Yak-40,CCCP-87579,Ukraine,W/O,29/29,Entered a high-speed descent and crashed on approach to Zhulyany Airport. Suspected flight crew intoxication with carbon monoxide. The aircraft was operating the second leg of a domestic scheduled Leningrad–Khmelnitskiy-Kiev–Kirovograd passenger service as Flight H-166.,[219][220]
24 June 1974,Tashkent,Il-18E,CCCP-75405,Uzbekistan,W/O,1/115,"Suffered a bird strike shortly after takeoff from Yuzhny Airport. The aircraft, climbing through 10–15 m (33–49 ft), descended and crashed. Due to operate a domestic scheduled Tashkent–Sverdlovsk passenger service as Flight 5139.",[221]
29 June 1974,Demidovo (near Nizhny Karachan),An-2M,CCCP-02383,Central,W/O,1/1,"During a crop-spraying flight for the ""im. Dimitrova"" collective farm, the engine failed. The aircraft was flying over a forest at 80–90 m (260–300 ft) when it lost altitude, struck tree tops, and crashed upside-down in the forest and burned out.",[222][223]
4 July 1974,Usinsk Airport,An-2,CCCP-92836,Komi,W/O,2/2,"The pilot, who was drunk, flew too low. The aircraft struck tree tops and crashed in a forest clearing.",[224]
27 July 1974,Sasovo,An-2TP,CCCP-35029,Sasovo Flight School,W/O,3/3,A fully upward deflection of the elevator trim tab caused the airplane to lose control and crash.,[225]
28 August 1974,Andryushkino,An-2V,CCCP-04302,Yakut,Repaired,0,"Damaged struts collapsed on landing, causing the left lower wing to tear off.",[226]
18 October 1974,Yeniseysk,An-12B,CCCP-11030,East Siberia,W/O,1/12,"The aircraft hit trees on approach to Yeniseysk Airport when the airplane descended below the glidepath in bad weather, crashing some 1,900 metres (6,200 ft) short of the runway.",[227]
1 November 1974,Surgut,An-2,CCCP-70766,Tyumen,W/O,14/14,"Mid-air collision with a Mi-8T. The aircraft was operating a domestic scheduled Khanty-Mansiysk–Surgut passenger service, while the helicopter had left Surgut bound for Nefteyugansk. 24 people aboard the helicopter also perished in the accident.",[228]
5 November 1974,Chita,Tu-104B,CCCP-42501,Far East,W/O,0,"Overran the runway on landing at Chita Airport, crashing into a railway embankment.",[229]
5 November 1974,Aleksandrovskoye Airport,An-2TP,CCCP-91730,West Siberia,W/O,0/0,"While parked at the airport, the aircraft was blown over during a storm.",[230]
14 November 1974,Kiev,Il-14M,CCCP-91515,Ukraine,W/O,6/6,Lost control and crashed on fire shortly after take-off from Zhulyany Airport.,[231]
4 December 1974,Irkutsk,An-12B,CCCP-12985,East Siberia,W/O,0,"Both aircraft collided in the air when the An-2R, just departing Irkutsk Airport, crossed the path of the An-12B that was on a training flight. The accident was caused by air traffic controllers error, who cleared the An-2R for take-off.","[232]
[233]"
An-2R,CCCP-49342,East Siberia,W/O,13/13
8 December 1974,Kiev region,An-2R,CCCP-05783,Ukraine,W/O,0,Crashed due to fuel exhaustion.,[234]
9 December 1974,Kirensk,An-2T,CCCP-44917,East Siberia,W/O,0,Lost control and crashed after the cargo shifted.,[235]
14 December 1974,Bukhara,Yak-40,CCCP-87630,Tajikistan,W/O,7/19,"Aborted takeoff from Bukhara Airport, overrunning the runway and hitting a dike. Was due to operate a domestic scheduled Bukhara–Samarkand passenger service as Flight 124.",[236][237]
24 December 1974,Baturino,An-2,CCCP-15890,West Siberia,W/O,1/3,Some five to six minutes before arrival at Baturino the engine failed at 200 m (660 ft). The crew performed a forced landing on a frozen marsh but the aircraft contacted tops of dead trees and crashed. The aircraft was completing a Tomsk–Baturino cargo service as Flight 107.,[238]
27 December 1974,Khabarovsk,An-2R,CCCP-06911,Far East,W/O,0,Crashed due to overloading.,[239]
1975,Unknown,An-2R,CCCP-09233,Ural,W/O,Unknown,Undercarriage collapse on hard landing.,[240]
16 January 1975,Sam Neua,An-2P,CCCP-70417,Ukraine,W/O,12/12,Crashed into a mountain in poor weather at night near Sam Neua Airport. The aircraft was operating a domestic non-scheduled Vientiane-Sam Neua passenger service.,[241]
28 January 1975,Zaporozhye Airport,Yak-40,CCCP-87825,Ukraine,W/O,0/17,"Before departure, the aircraft was cleared of snow, but due to continued snowfall the wings were covered in snow again. Snow was blown off the right wing during run-up. After lift-off the aircraft banked left and touched down on the left landing gear. Although takeoff was aborted, the aircraft ran off the runway and the left wing struck a building of a meteorological post. Due to operate a domestic scheduled Zaporozhye–Ternopol passenger service.",[242]
12 February 1975,Krasnoyarsk,Il-18V,CCCP-75801,MUTA,W/O,0,Both nosegear and port main gear legs collapsed as the aircraft undershoot the runway when attempting to land in bad weather at Yemelyanovo Airport.,[81][243]
15 April 1975,Omsk,An-2TP,CCCP-70177,Kazakhstan,W/O,13/14,"Stalled following takeoff from Omsk Airport, banking to the left, crashing, and catching fire. The gust locks had not been disengaged before takeoff due to a maintenance error. Due to operate an Omsk–Leningradskoe–Kokchetau passenger service as Flight 454.",[244][245]
28 April 1975,Poltava,An-24RV,CCCP-46476,Ukraine,W/O,0/11,The aircraft descended below the glidepath and crashed short of the runway at Poltava Airport.,[246]
30 April 1975,Tambov,An-2SKh,CCCP-06444,Central,W/O,0/2,Lost altitude and crashed in a field while crop-spraying.,[247]
18 May 1975,Birobidzhan,An-2R,CCCP-70426,Far East,W/O,0,"The aircraft was flying a turn while low on fuel. Air entered the fuel system, causing the engine to quit and the aircraft crashed.",[248]
19 May 1975,Mestia,An-2T,CCCP-07960,Georgia,W/O,0,The aircraft crashed shortly after takeoff after it was caught in a strong downdraft.,[249]
20 May 1975,Unknown,An-2,CCCP-43908,Yakut,W/O,Unknown,Destroyed on landing.,[250]
19 June 1975,Markovo,An-2T,CCCP-41932,Magadan,W/O,0,Crashed while flying in poor weather.,[251]
28 June 1975,Karaganda,An-2T,CCCP-02132,Kyrgyzstan,W/O,0,Struck terrain while flying too low.,[252]
15 July 1975,Batumi,Yak-40,CCCP-87475,Armenia,W/O,40/40,Struck a mountain following a go-around at Chorokh Airport. Was operating a domestic scheduled Yerevan–Batumi passenger service as Flight E-15.,[253]
23 July 1975,Termez,An-2R,CCCP-70235,Tajikistan,W/O,0,Crashed while crop-spraying.,[254]
9 August 1975,Bagdarin,Il-14M,CCCP-52056,Leningrad,W/O,11/11,The airplane went off the approach pattern to Bagdarin Airport and struck a wooded hillside in a cloudy scenario.,[255]
15 August 1975,Krasnovodsk,Yak-40,CCCP-87323,Azerbaijan,W/O,23/28,Crashed on final approach to Krasnovodsk Airport after the airplane descended below the glideslope due to an incorrect position of the flaps. It was completing a domestic scheduled Baku–Krasnovodsk passenger service as Flight A-53.,[256][257]
30 August 1975,Mogilev region,An-2R,CCCP-70506,Belarus,W/O,4/4,"The aircraft was operating a medical flight to deliver a sick patient to a hospital in Mogilev. After landing in Krasnopole the crew reported that the engine would not start due to a defective starter. A second An-2 (CCCP-35443) was flown over with technicians, and the patient was loaded on this An-2. The crew stayed overnight at the airport. Replacing the starter failed to fix the problem, and another An-2 (CCCP-16018) was flown over with technicians. The battery was switched out and the engine started. The aircraft took off for Mogilev, but communication was later lost. Wreckage was found near Maly Khutora; the pilots were drunk and had lost control.",[258][259]
30 August 1975,Novosibirsk,Tu-104B,CCCP-42472,Ukraine,W/O,0,Main undercarriage break-up upon hard landing at Tolmachevo Airport.,[260]
18 September 1975,Off Turukhansk,An-2V,CCCP-98302,Krasnoyarsk,W/O,3/3,"Flew into a 410-metre-high (1,350 ft) hill, 72 kilometres (45 mi) northwest of Turukhansk. The aircraft was operating a military service for the Soviet Air Force.",[261]
6 October 1975,Kirov,Yak-40,CCCP-87328,Ural,W/O,Unknown,Crashed at Kirov Airport following the failure of the three engines.,[262]
22 October 1975,Novgorod,Yak-40,CCCP-87458,Latvia,W/O,11,"The airplane was operating a domestic scheduled Syktyvkar–Vologda–Novgorod–Riga passenger service as Flight A-98. When it was about to complete its second leg, the flightcrew attempted an approach to Novgorod Airport, despite poor visibility. The aircraft went off course, and both the undercarriage and the wings contacted buildings, causing it to crash and catch fire. All 6 occupants aboard perished in the accident, plus 5 people on the ground.",[263][264]
17 November 1975,Gali,An-24RV,CCCP-46467,North Caucasus,W/O,38/38,Went off course when trying to avoid a thunderstorm while en route a domestic scheduled Tbilisi–Sukhumi passenger service as Flight 6274. Crashed into a mountain 25 kilometres (16 mi) northeast of Gali.,[265]
20 November 1975,Kharkov,An-24B,CCCP-46349,Belarus,W/O,19/50,"Hit trees on approach to Kharkov Airport, inbound from Rostov-on-Don, crashing into a hillside 17 kilometres (11 mi) west of the airport. There was a discrepancy between the aircraft's barometric altimeter and the actual altitude. The aircraft was operating a domestic scheduled passenger service as Flight 7950.",[266][267]
10 December 1975,Serafimovich,An-2R,CCCP-23691,North Caucasus,W/O,0,Crashed while flying too low in poor weather.,[268]
13 December 1975,Nizhneangarsk,An-2R,CCCP-49280,East Siberia,W/O,0,Crashed while flying too low in poor weather.,[269]
15 December 1975,Fergana,An-12B,CCCP-11005,Yakut,W/O,0,The landing gear was accidentally retracted on the take-off run at Fergana Airport.,[270]
1976,Kiev,Tu-154,CCCP-85020,International,W/O,0,Hard landing.,[271]
1976,Kiev,Tu-104A,CCCP-42371,East Siberia,W/O,Unknown,Undershot the runway on landing at Borispol Airport following an in-flight shutdown of the engines.,[272]
1976,Unknown,An-12B,CCCP-11103,Northern,W/O,Unknown,Written off on 31 August 1976. Circumstances unknown.,[273]
3 January 1976,Sanino,Tu-124V,CCCP-45037,North Caucasus,W/O,61/61,Crashed shortly after takeoff from Vnukovo Airport after the crew lost visual amid a cloudy environment and became disoriented. Due to operate a domestic scheduled Moscow–Brest passenger service as Flight 2003.,[274][275]
13 January 1976,Leningrad,An-24B,CCCP-47280,Ural,W/O,0/45,"Hit trees on approach to Smolnoye Airport when it descended below the glidepath, and crashed near Leningrad; the crew had disregarded the ground proximity warning system.",[276]
30 January 1976,Frunze Airport,Il-18V,CCCP-75558,Kyrgyzstan,W/O,6/6,Crashed after control was lost during a go-around. The aircraft was on a training flight.,[277]
9 February 1976,Irkutsk,Tu-104A,CCCP-42327,West Siberia,W/O,24/115,Suddenly banked some 20° right immediately after takeoff from Irkutsk Airport; the aircraft hit the ground moments later with the right wing down forming an even greater angle relative to the horizon. Due to operate a domestic scheduled Irkutsk–Novosibirsk passenger service as Flight 3739.,[278]
6 March 1976,Verkhnyaya Khava,Il-18E,CCCP-75408,Armenia,W/O,111/111,"The aircraft was operating a domestic scheduled Moscow–Yerevan passenger service as Flight 909, when it crashed on approach to Yerevan Airport. Due to an electrical failure, several instruments, including the heading indicator and the autopilot, were not functional at the time of the accident.",[279]
10 March 1976,Saratov Airport,An-24RV,CCCP-46613,Privolzhsk,W/O,0,Hard landing. Overran the runway and crashed.,[280]
24 March 1976,Ashgabat Airport,Il-14LIK,CCCP-61756,Kazakhstan,W/O,6/6,Struck a mountain in a cloudy environment.,[281]
11 April 1976,Kazachinsk,An-2TP,CCCP-09675,East Siberia,W/O,Unknown,"Crashed into mountainous terrain amid bad weather. All crewmembers perished in the accident, yet the number of fatalities was not disclosed. The aircraft was leased from Aeroflot.",[282]
17 April 1976,Kursk,An-2SKh,CCCP-33170,Uzbekistan,W/O,1/2,"During a crop-spraying flight for the ""Oktyabr"" kolkhoz (collective farm), the aircraft lifted off at low speed, stalled at 10–15 m (33–49 ft) and crashed.",[283]
