Date,Location,Aircraft,Tail number,Airline division,Aircraft damage,Fatalities,Description,Refs
22 April 1976,Tula,An-2R,CCCP-01626,Central,W/O,0,Force-landed following a loss of engine power due to fuel starvation.,[284][285]
15 May 1976,Chernigov,An-24RV,CCCP-46534,Ukraine,W/O,52/52,"While flying at 5,700 m (18,700 ft), the rudder suddenly deflected 25° to the right, changing the roll angle and yaw. The pilots responded by adjusting the ailerons to reduce the roll, but a few seconds later the rudder deflected 9° and the elevators deviated, causing the aircraft to pitch up. The aircraft reached supercritical angles of attack and went into a tailspin. Following a high-speed descent the aircraft crashed. Due to operate a domestic scheduled Kiev–Moscow passenger service as Flight 1802.",[286]
16 May 1976,Semipalatinsk,An-2SKh,CCCP-79935,Kazakhstan,W/O,1/1,"The aircraft was performing a crop spraying mission, when it crashed after a steep turn near Semipalatinsk, killing the pilot, who was drunk.",[287]
19 May 1976,Alaverdi,An-2R,CCCP-03547,Armenia,W/O,0,Crashed in bad weather.,[288]
1 June 1976,Bioko Island,Tu-154A,CCCP-85102,International,W/O,45/45,"Crashed while en route its first leg into a 750-metre-high (2,460 ft) mountain. The aircraft was operating an international scheduled Luanda–Malabo–Kinshasa–Tripoli–Moscow passenger service as Flight 418. The cause was not determined, but radar failure was suspected.",[40][289]
2 June 1976,Osokorka,Yak-40,CCCP-87541,Lithuania,W/O,0,Made an emergency landing on a wet meadow while approaching Kiev-Zhulhyany Airport after the flight engineer had accidentally shut down all 3 engines and the flight crew were unable to restart the engines. Everybody on board survived uninjured.,[290]
9 June 1976,Anadyr,An-2,CCCP-23743,Magadan,W/O,0,Crashed in poor weather.,[291]
12 June 1976,Nizhnevartovsk,An-2R,CCCP-32464,East Siberia,W/O,Unknown,"Went off course on approach to Nizhnevartovsk Airport and crashed into mountainous terrain 4.5 km (2.8 mi) away from Nizhnevartovsk. All crewmembers died in the accident, yet the number of fatalities was undisclosed.",[292]
20 June 1976,Engels,An-2R,CCCP-70819,Privolzhsk,W/O,2/2,Crashed in a field while in a banking attitude. The aircraft was performing a crop-spraying flight for state farm No. 592.,[293]
26 June 1976,Kazan,An-2,CCCP-70764,Privolzhsk,W/O,1,"Hit a transmission tower after it lost height due to a loss of power, crashed and was destroyed by fire.",[294]
27 June 1976,Komsomolski District,An-2R,CCCP-70481,Ukraine,W/O,1/1,"During a crop-spraying flight for the ""Bestau"" state farm, the crew, who were drunk, flew to Amangeldy. While the aircraft was parked, a drunk mechanic performed two flights; on the second flight the aircraft crashed on the banks of the Tolybai River and exploded.",[295]
30 June 1976,Valikhanovskiy District,An-2R,CCCP-70531,Central,W/O,3/3,"Experienced an in-flight failure on one of the propeller blades owing to fatigue. Violent vibrations caused the engine mount to fail, leading to the shift of the powerplant to the left, and causing the propeller to cut through the spar, which damaged the port wingbox. The aircraft eventually entered a spin and crashed.",[296]
11 July 1976,Sivash Lagoon,An-2,CCCP-62439,Ukraine,W/O,0,Crashed after encountering poor weather.,[297]
15 July 1976,Barnaul,An-2P,CCCP-05840,West Siberia,W/O,0,"During a Zeminogorsk–Barnaul flight the engine failed due to fuel exhaustion, although the fuel gauge showed 150 L (40 US gal) of fuel. A forced landing was made in a forest and the aircraft suffered substantial damage as a result.",[298]
17 July 1976,Chita Airport,Tu-104A,CCCP-42335,East Siberia,W/O,0/117,Failed to get airborne due to overloading.,[299][300]
23 July 1976[nb 7],Sokolskoye,An-2R,CCCP-35088,Central,W/O,Unknown,Hit trees and crashed; the crew was probably drunk.,[302]
26 July 1976,Astrakhan,An-2R,CCCP-07285,North Caucasus,W/O,0,Crashed.,[303]
3 August 1976,Popovka,An-2R,CCCP-70190,Central,W/O,Unknown,Crashed.,[304]
13 August 1976,Guryev Airport,An-24B,CCCP-47734,Kazakhstan,W/O,0/43,While on approach to land at Guryev (now Atyrau) the aircraft deviated from the glide path. The aircraft landed hard at high speed and bounced twice. The aircraft came down hard again and suffered substantial damage.,[305]
27 August 1976,Beryozovo,An-2V,CCCP-79852,Tyumen,W/O,0,The aircraft crashed following engine failure after the crew make a mistake in handling the fuel system,[306]
9 September 1976,Black Sea,An-24RV,CCCP-46518,Belarus,W/O,64/64,"Mid-air collision, 37 km (23 mi) south of Anapa of Aeroflot Flight 7957 and Flight 31, involving an An-24 and Yak-40. The An-24RV was operating a passenger service between Donetsk and Adler with 46 people aboard. The Yak-40 was flying the Rostov-on-Don–Kerch route with 14 passengers and a crew of 4 on board.",[307][308]
Yak-40,CCCP-87772,North Caucasus,W/O
26 September 1976,Novosibirsk,An-2,CCCP-79868,West Siberia,W/O,5,The pilot intentionally crashed the aircraft into a building where his former wife —from whom he had divorced— lived.,[309]
2 October 1976,Khoito-Gol,An-2T,CCCP-01226,East Siberia,W/O,0,Crashed in the Vostochnyy Sayan Mountains.,[310]
30 October 1976,Tashkent Airport,Il-18V,CCCP-75575,Uzbekistan,W/O,0/97,Overran the runway on landing in bad weather.,[311]
28 November 1976,Moscow,Tu-104B,CCCP-42471,Northern,W/O,72/72,Crashed 29 km (18 mi) away from Sheremetyevo Airport amid inclement weather. Malfunction of the artificial horizon caused the pilots to become disorientated and exceed bank limits. Due to operate the Moscow–Leningrad route as Flight 2415.,[312][313][314]
7 December 1976,Armavir,Yak-40,CCCP-87756,Ukraine,W/O,0/29,"Due to fog the crew performed a go-around at Mineralnye Vody. The crew considered diverting to Stavropol but were informed by ATC that visibility was just 300 m (980 ft) there (it was actually 700 m (2,300 ft) which would have allowed a safe landing). The crew attempted another landing but had to go-around again. The crew then diverted to Armavir, but the aircraft ran out of fuel on final approach and a forced landing was made in an orchard some 1,745 m (5,725 ft) short of the runway. The aircraft was operating a domestic scheduled Dnepropetrovsk–Mineralnye Vody passenger service as Flight 929.",[315]
16 December 1976,Zaporozhye,Yak-40,CCCP-87638,Ukraine,W/O,5/5,"Crashed during a training flight after stalling, 20 km (12 mi) northwest of Zaporozhye.",[316]
17 December 1976,Ust-Kut,Yak-40,CCCP-88208,East Siberia,W/O,7/7,"Before takeoff, the left altimeter was set incorrectly, causing the altimeter to show 100 m (330 ft) than the actual altitude. The crew also did not realize that the stabilizer was also set incorrectly. On takeoff the aircraft rotated quickly and became airborne too soon. The crew retracted the flaps at too low speed and also lowered the pitch angle for acceleration. The crew did not realize that the aircraft was too close to the ground, because of the altimeter. The aircraft, operating a Ust-Kut–Kirensk cargo service, struck trees, crashed and caught fire.",[317]
17 December 1976,Kiev,An-24,CCCP-46722,Ukraine,W/O,48/55,"Flew below the glideslope amid reduced visibility on approach to Zhulyany Airport, eventually colliding with a concrete embankment. Was operating a domestic scheduled Chernovtsy–Kiev passenger service as Flight H-36.",[318][319]
18 December 1976,Yuzhno-Sakhalinsk,Il-14RR,CCCP-61752,Far East,W/O,8/10,Deviated from the approach course to Yuzhno-Sakhalinsk Airport while operating a research flight and struck a mountain.,[320]
13 January 1977,Alma-Ata,Tu-104A,CCCP-42369,Far East,W/O,96/96,"The aircraft was operating a scheduled domestic Khabarovsk–Novosibirsk–Dushanbe passenger service as Flight 3843 when it suffered a fire breakout on one of its engines. While dumping fuel to make an emergency landing at Alma-Ata Airport, the fire reached the fuel tanks, which exploded; the aircraft crashed 3.5 km (2.2 mi) away from the airport.",[1][321][322][323][324]
15 February 1977,Mineralnye Vody,Il-18V,CCCP-75520,Uzbekistan,W/O,77/77,Stalled following a missed approach procedure and crashed near Mineralnye Vody. The aircraft was operating a domestic scheduled Tashkent-Yuzhniy Airport–Mineralnye Vody Airport passenger service as Flight 5003.,[1][325][326][327]
6 March 1977,Unknown,An-2TP,CCCP-40572,Yakut,W/O,Unknown,"Veered off the runway, crashing into a building.",[328]
18 March 1977,Forish,An-2R,CCCP-09191,Uzbekistan,W/O,2/2,During crop-spraying the crew performed low altitude stunts. The aircraft stalled and crashed.,[329]
30 March 1977,Zhdanov,Yak-40,CCCP-87738,Ukraine,W/O,8/27,The starboard wing hit a pole while on final approach to Zhdanov Airport. The aircraft banked and struck the ground before it broke up and caught fire. The aircraft was operating a domestic scheduled Dnepropetrovsk–Zhdanov passenger service as Flight H-925.,[330][331]
5 April 1977,Penyok,Il-14FKM,CCCP-61675,West Siberia,W/O,6/6,"Crashed into the ground, following the loss of rudder control. The aircraft was on a training flight.",[332]
7 May 1977,Tavda,An-2,CCCP-15925,Tyumen,W/O,Unknown,Mid-air collision.,[333][334]
An-2,CCCP-44992,Ural,W/O
7 May 1977,Ayanka Airstrip,An-2T,CCCP-23716,Far East,W/O,4/4,En route to Tilichiki the aircraft caught fire due to a fuel leak. The crew was incapacitated and lost control. The aircraft crashed on a frozen lake in tundra 20 km (12 mi) southeast of Ayanka.,[335]
27 May 1977,Havana,Il-62M,CCCP-86614,International,W/O,69,"Struck power lines on approach to José Martí International Airport, crashing and killing all but two of the 70 occupants of the aircraft, plus one more on the ground. The airplane was operating an international scheduled Moscow–Frankfurt–Lisbon–Havana passenger service as Flight 331.",[1][336][337]
10 June 1977,Bukhara,An-2R,CCCP-55735,Uzbekistan,W/O,0,Force-landed due to a loss of engine power.,[338]
8 July 1977,Off Sukhumi Airport,An-24RV,CCCP-46847,Kirovograd Flight School,W/O,6/7,"Descended gradually until it crashed into the Black Sea, probably because the pilot became distracted with nearby storm activity. The aircraft was on a training flight from Sukhumi to Kirovograd (now Kropyvnytskyi).",[339]
10 July 1977,Helsinki Airport,Tu-134,CCCP-65639,Northern,W/O,0,"Hijacked by two people demanding travel to Sweden. The aircraft diverted to Helsinki due to insufficient fuel, where the hijackers surrendered.",[340]
14 July 1977,Khabarovsk,An-2R,CCCP-55723,Far East,W/O,0,Crashed. The aircraft was overloaded.,[341]
19 July 1977,Alamedin,An-2R,CCCP-15274,Kyrgyzstan,W/O,0,Struck an obstacle during a go-around following an aborted approach.,[342]
20 July 1977,Vitim,Avia 14M,CCCP-52096,East Siberia,W/O,39/40,"Attempted a tailwind takeoff from Vitim Airport. The aircraft drifted off the runway, hit trees, stalled and crashed into a woodland. The aircraft was due to operate a domestic scheduled Vitim-Irkutsk passenger service as Flight 2.",[343]
21 July 1977,Kungrad,An-2R,CCCP-44617,Uzbekistan,W/O,0,"Struck an obstacle on takeoff, suffering substantial damage.",[344]
2 August 1977,Barysh Airstrip,An-2TP,CCCP-29316,Privolzhsk,W/O,0/24,"The aircraft was operating a domestic scheduled Ulyanovsk–Nikolayevka passenger service. The pilot allowed 16 passengers on board for an unauthorized Barysh–Pavloka service. The overloaded aircraft failed to gain altitude on takeoff and struck trees 3 km (1.9 mi) past the runway, crashed and caught fire.",[345]
18 August 1977,Ust-Kuyga,An-26,CCCP-26536,Yakut,W/O,0,Hard landing.,[346]
29 August 1977,Omolon,An-2T,CCCP-01250,Magadan,W/O,0,Crashed in poor weather.,[347]
30 August 1977,Jurbarkas,An-2,CCCP-32032,Lithuania,W/O,0,The collapse of the port main undercarriage upon crash landing led to an irreparable damage of the port wing.,[348]
31 August 1977,Otrado-Olginski,An-2R,CCCP-32180,North Caucasus,W/O,2/2,Crashed.,[349]
27 September 1977,Samarkand Region,An-2R,CCCP-33254,Uzbekistan,W/O,0,"The crew mishandled the altitude compensator, causing the engine to quit. The aircraft force-landed and was written off.",[350]
18 October 1977,Srednekolymsk,An-2T,CCCP-55625,Yakut,W/O,Unknown,Crashed.,[351]
27 October 1977,Cape Chelyuskin,Il-14M,CCCP-04195,Krasnoyarsk,W/O,Unknown,Crashed after going off course on approach to Cape Chelyuskin Airport.,[352]
28 November 1977,Chuya,An-2R,CCCP-70629,East Siberia,W/O,0,Unknown,[353]
9 December 1977,Tarko-Sale,An-24RV,CCCP-47695,Tyumen,W/O,17/23,Crashed and caught fire upon takeoff from Tarko-Sale Airport because of an incorrect position of the flaps. Due to operate a domestic scheduled Tarko-Sale–Surgut passenger service as Flight 134.,[354][355]
19 December 1977,Podkopayevo,An-2TP,CCCP-09696,Central,W/O,0,"Force-landed due to loss of engine power, caused by fuel starvation.",[356][357]
20 December 1977,Ukhta,An-2P,CCCP-07471,Komi,W/O,0,Force-landed following a loss of engine power.,[358]
23 December 1977,Ekimchan,An-2R,CCCP-02708,Far East,W/O,0,Crashed. The aircraft was overloaded.,[359]
1978,Unknown,An-12BP,CCCP-11125,Yakut,W/O,0,A vessel containing acid broke in the cargo hold while the aircraft was being loaded at some previous time.,[360]
1978,Budyonnovsk,An-24B,CCCP-46350,Ukraine,W/O,0,"At 6,000 m (20,000 ft) both engines failed due to icing. The crew was able to lower the landing gear manually but were unable to deploy the flaps. A forced landing was carried out and the nosegear collapsed during landing after which the right wing hit a concrete pillar. The aircraft was operating a Dnepropetrovsk (now Dnipro)–Baikonur service. The accident occurred in 1977 or 1978, before 9 November 1978.",[361]
1 February 1978,Krasny,An-2TP,CCCP-40570,Central,W/O,Unknown,"Collided with another An-2TP, tail number CCCP-40563, owing to air traffic controllers error. Landed safely, without any reported fatality on board. All occupants of CCCP-40563 perished in the accident.",[362]
18 February 1978,Novosibirsk,Tu-154A,CCCP-85087,West Siberia,W/O,0,"A fire that broke out in the passenger cabin engulfed the front part of the airframe. The aircraft was standing on the apron at Tolmachevo Airport. Rags, in combination with an unattended heater that had been left on, started the fire.",[363]
4 April 1978,Muryuk,An-2T,CCCP-13716,West Siberia,W/O,0,"Lost speed on takeoff, stalled and crashed.",[364]
8 April 1978,Aldan Airport,Yak-40,CCCP-87911,Yakut,W/O,0/17,Stalled upon takeoff and crashed. Due to operate an Aldan–Irkutsk passenger service as Flight 401. The Yak-40's V2 speed was increased by 5 km/h (3.1 mph) due to instability at low speeds.,[365][366]
1 May 1978,Ufa,An-2R,CCCP-01367,Privolzhsk,W/O,0,Crashed in poor weather.,[367]
6 May 1978,Ashgabat,Il-18,Unknown,Unknown,Unknown,1,"En route to Mineralnye Vody, the aircraft was hijacked by a passenger who demanded to be flown to Iran. He threatened the crew with a pistol and grenade. The co-pilot was shot, after which security forces shot and killed the hijacker. The aircraft was able to return safely to Ashgabat. It was later revealed that the pistol was homemade with starter gun ammo and that the grenade was a wooden fake.",[368]
7 May 1978,Karnaukhovskiy,An-2R,CCCP-70493,North Caucasus,W/O,3/3,"The aircraft was crop-spraying for the ""Bolshevik"" collective farm. Three days later a drunk pilot took two passengers on a flight from Novaya Tsimlaya to the collective farm's airstrip, but the aircraft crashed in a field and caught fire.",[369]
19 May 1978,Maksatiha,Tu-154B,CCCP-85169,Azerbaijan,W/O,4/134,"Crash-landed 5.3 km (3.3 mi) from Maksatiha, Tver Oblast, following the stoppage of all three engines soon afterwards the flight engineer accidentally disconnected the automatic transferring of fuel to the sump tank. The aircraft was operating a Baku–Leningrad passenger service as Flight 6709.",[370]
29 May 1978,Pastavy,An-2P,CCCP-35188,Belarus,W/O,0/5,"While on approach, the aircraft lost altitude and crashed into a road embankment near the airport.",[371]
18 June 1978,Unknown,An-2R,CCCP-02846,Yakut,W/O,Unknown,Damaged beyond repair in an accident. No further details are available.,[372]
25 June 1978,Vladivostok,An-2R,CCCP-09616,Far East,W/O,0,Crashed.,[373]
11 July 1978,Makhachkala,An-2T,CCCP-79968,North Caucasus,W/O,0,Force-landed following engine failure.,[374]
16 August 1978,Nukus,An-2TP,CCCP-40545,Uzbekistan,W/O,0,Crashed.,[375]
8 September 1978,Yablunivka,An-2R,CCCP-35112,Ukraine,W/O,2/2,Lost altitude and crashed while crop-spraying. A first aid kit stored under the co-pilot's seat probably got stuck between the seat and steering column causing a loss of control of the stabilizer.,[376]
23 September 1978,Novoaleksandrovsk,An-2R,CCCP-32079,North Caucasus,W/O,3/3,"While on a crop-spraying flight for the ""Lenin"" collective farm, the crew, who were drunk, performed stunts. The aircraft crashed in a field and caught fire.",[377]
29 September 1978,Ulan-Bator,An-2R,CCCP-07278,Kazakhstan,W/O,0,Struck terrain for reasons unknown.,[378]
2 October 1978,Tbilisi,Yak-40,CCCP-87544,Privolzhsk,W/O,0/30,"Was operating a domestic scheduled Volgograd–Tbilisi passenger service. Experienced a hydraulic failure prior to land at Tbilisi Airport. The aircraft overran the runway following touchdown, hitting a concrete mast and breaking up in three.",[379]
7 October 1978,Sverdlovsk,Yak-40,CCCP-87437,Kazakhstan,W/O,38/38,"Experienced the failure of the port engine shortly after take-off from Koltsovo Airport, owing to icing conditions. The aircraft lost height and crashed into a hill. Due to operate a domestic Sverdlovsk–Kostanay passenger service as Flight 1080.",[380][381]
13 October 1978,Mary,An-2R,CCCP-32515,Turkmenistan,W/O,0,Crashed. The aircraft was overloaded.,[382]
17 October 1978,Lanovtsy,An-2R,CCCP-32599,Ukraine,W/O,2/2,The pilots became distracted during a crop-spraying flight over hilly terrain and as a result the aircraft struck the slope of a hill.,[383]
18 October 1978,Nizhnevartovsk,An-2P,CCCP-02457,West Siberia,W/O,0,The aircraft took off without having been completely cleared of snow and ice. Controlling the aircraft became difficult and the crew made a forced landing in swampy terrain. The aircraft then caught fire.,[384]
23 October 1978,Sivash,An-24B,CCCP-46327,North Caucasus,W/O,26/26,"Crashed in the Gulf of Sivash after experiencing dual engine flameout due to icing conditions while en route at 2,400 metres (7,900 ft). The aircraft was operating a domestic scheduled Krasnodar-Simferopol passenger service as Flight 6515.",[385]
10 November 1978,Makhachkala Airport,An-24B,CCCP-46789,North Caucasus,W/O,1,"While operating a domestic scheduled Groznyy–Baku passenger service, a passenger attempted to hijack the aircraft to Turkey. Although the hijacker injured the flight engineer, he was killed himself when a bullet ricocheted off a cockpit door he was firing at. The aircraft was able to land safely at Makhachkala but was written off on 27 February 1979 after it apparently suffered some damage in the incident.",[386]
14 November 1978,Stockholm,Tu-154B-1,CCCP-85286,International,Repaired,0/74,Overran the runway and crashed after the nose failed to lift up. The aircraft was operating an international scheduled Stockholm-Moscow passenger service as Flight 212.,[387]
30 November 1978,Unknown,Unknown,Unknown,Unknown,Unknown,1,Hijacking. The aircraft was covering the Krasnodar–Baku route.,[388]
9 December 1978,Cherskiy,An-26,CCCP-26547,Yakut,W/O,7/7,Lost control and crashed just after takeoff due to shifting cargo.,[389]
19 December 1978,Samarkand,An-24B,CCCP-46299,Uzbekistan,W/O,5/5,Crashed on approach to Samarkand Airport with only one engine working.,[390]
1979,Unknown,Tu-154B,CCCP-85131,Ukraine,W/O,0,Written off following a mercury spill in the cargo hold. The aircraft was withdrawn from use and used in the shooting of a movie before it was moved to an aeronautical school in Kryvyi Rih.,[391]
2 January 1979,Molodezhnaya Station,Il-14FKM,CCCP-04193,Central,W/O,3/14,Crashed on takeoff. At 70–80 m (230–260 ft) the aircraft suddenly entered a left bank and descended until it struck a glacier. The aircraft was caught by windshear and a loss of control resulted. The aircraft was operating transportation flights for personnel of the 24th Soviet Antarctic expedition.,[392]
15 January 1979,Minsk,An-24B,CCCP-46807,Ukraine,W/O,13/14,"The aircraft was operating a domestic scheduled Kiev–Minsk passenger service as Flight 7502 when it crashed 5.3 km (3.3 mi) northwest of Minsk-1 Airport, on approach, after control was lost following the loss of longitudinal stability; the pilot had prematurely switched off the de-icing system and the aircraft encountered icing conditions along its flight path when it flew through clouds.",[393][394]
18 January 1979,Belgorod,L-410M,CCCP-67210,Central,W/O,3/3,Crashed while operating a training flight.,[395]
12 March 1979,Unknown,An-2TP,CCCP-40594,Yakut,W/O,Unknown,Broke through the icy surface of a lake and sank.,[396]
17 March 1979,Moscow,Tu-104B,CCCP-42444,Ukraine,W/O,58/119,"A false fire alarm in one of the engines prompted the crew to fly the aircraft back to Vnukovo Airport. On approach to the airport in poor visibility, the airplane descended below the glideslope and one wing hit an electricity pylon, then contacted the top of a hill, and eventually crashed into a frozen field, where the airframe lost the wings and the cockpit. Cockpit- and wing-less, the fuselage slid for some 200 metres (660 ft) over the snowy surface before coming to rest. Due to operate a domestic scheduled Moscow–Odessa passenger service.",[397]
20 March 1979,Chardzou,Yak-40K,CCCP-87930,Turkmenistan,W/O,0/34,Entered the wake turbulence of a Mil Mi-6 and crashed at Chardzhou Airport.,[398]
22 March 1979,Liepaja,Tu-134A,CCCP-65031,Latvia,W/O,4/5,"The aircraft was operating the last leg of an Omsk–Gorkiy–Liepaja cargo service when it went off its extended centerline on approach to Liepaja Airport as it descended below the glideslope in poor visibility, crashing and catching fire after hitting trees.",[399]
26 March 1979,Baykit,An-26,CCCP-26569,Ural,W/O,4/12,"The pilot allowed some passengers to travel to Baykit. While on approach to Baykit, ATC ordered the crew to carry out a missed approach because the runway was blocked. The pilot continued the approach and barely climbed until the aircraft struck a wooded hillside and crashed. The aircraft was operating a Yeniseisk–Baykit cargo service as Flight 37293.",[400][401]
10 May 1979,Sochi,Il-18D,CCCP-75414,Ural,W/O,0/79,Overran the runway and crashed at Sochi Airport after an aborted takeoff.,[402]
10 May 1979,Svidovets,An-2R,CCCP-06330,Ukraine,W/O,0,Crashed. The aircraft was overloaded.,[403]
19 May 1979,Ufa,Tu-134A,CCCP-65839,Moldova,W/O,0/89,"Landed at Ufa Airport with its wheel brakes locked, veering off the runway and causing the fuel tank to rupture, subsequently catching fire. The aircraft was operating the first leg of a domestic scheduled Novosibirsk–Ufa–Chisinau passenger service.",[404]
31 May 1979,Tyumen,Tu-134A,CCCP-65649,Tyumen,W/O,0,The airplane experienced a tyre burst that ignited the hydraulic fluid upon touchdown at Tyumen Airport.,[405]
16 June 1979,Petropavlovsk-Kamchatsky,An-2T,CCCP-44920,Far East,W/O,0/1,Stolen by a drunk pilot at Petropavlovsk-Kamchatsky Airport. The plane stalled in a low altitude maneuver and crashed upside down.,[406]
3 July 1979,Krasnaya Polyana,An-2M,CCCP-02330,Ukraine,W/O,Unknown,Collided with a transmission tower while crop-spraying.,[407]
3 August 1979,Leningrad,L-410M,CCCP-67206,Central,W/O,10/14,"While on approach to Rzhevka Airport the right engine failed. The propeller could not be feathered and the crew performed a go-around. The aircraft banked right, entered a spin and crashed in a forest short of and to the right of the runway and caught fire. The aircraft was operating a domestic scheduled Smolensk–Velikiye Luki-Leningrad passenger service as Flight 1643.",[408][409]
11 August 1979,Dneprodzerzhinsk,Tu-134AK,CCCP-65735,Belarus,W/O,178/178,"Both aircraft were involved in a mid-air collision at an approximate altitude of 8,400 m (27,600 ft). The Tu-134AK had departed from Donetsk Airport and was en route to Minsk as Flight 7880 with 84 occupants aboard – 77 passengers and a crew of 7 – while the other aircraft was operating the last leg of a domestic scheduled Chelyabinsk–Voronezh–Kishinev passenger service as Flight 7628 with 94 people on board – 88 passengers and six crewmembers – All occupants of both aircraft died.",[410][411][412]
Tu-134A,CCCP-65816,Moldova,W/O
24 August 1979,Yeniseysk,An-12TB,CCCP-12963,Krasnoyarsk,W/O,11/16,The aircraft was en route from Norilsk to Krasnoyarsk on a cargo service when it crashed 18 km (11 mi) away from Yeniseysk following the flameout of all engines due to fuel contamination.,[413]
29 August 1979,Kirsanov,Tu-124V,CCCP-45038,Privolzhsk,W/O,63/63,"The crew lost control of the aircraft due to an extension of the flaps while en route from Borispol Airport to Kazan Airport. The airplane subsequently entered a spinning dive, disintegrating at an altitude of 3,000 m (9,800 ft) over Kirsanov because of the overstress the airframe underwent. It was operating a domestic scheduled Odessa–Kiev–Kazan passenger service as Flight 5484. Aeroflot withdrew the Tu-124 from service in the wake of this accident.",[414][415]
3 September 1979,Amderma,An-24B,CCCP-46269,Arkhangelsk,W/O,40/43,"The aircraft undershot the runway at Amderma Airport and crashed. On approach, the crew descended below the glidescope and the ground proximity warning system sounded, yet the crew continued to descend. The aircraft broke up after impact and the main wreckage came to rest 20–30 m from the Kara Sea. The aircraft was operating a domestic scheduled Arkangelsk-Amderma service as Flight A-513.",[416]
20 September 1979,Malyushin Airfield,An-2R,CCCP-56413,Belarus,W/O,Unknown,Unknown,[417]
13 October 1979,Unknown,An-2R,CCCP-70805,Yakut,W/O,Unknown,Crashed in an open field and was consumed by fire.,[418]
27 October 1979,Lensk,An-2TP,CCCP-32322,Yakut,W/O,3/12,"The rear door opened during takeoff. Two passengers left their seats to close the door, causing the center of gravity to move past the rear limit. The nose pitched up; the aircraft stalled and struck the runway. The aircraft was due to operate a domestic passenger service.",[419]
30 October 1979,Off Denmark,Il-14M,CCCP-61683,Moscow SPiMVL,W/O,0/0,Destroyed by a fire that erupted aboard the ship (MV Olyenok) the aircraft was being carried upon.,[420]
16 November 1979,Vologda,Yak-40,CCCP-87454,Leningrad,W/O,3/5,The aircraft was being ferried from Veliky Ustyug Airport to Vologda Airport as Flight 564 when it struck tree tops and crashed on approach to the airport of destination as it descended below the glideslope amid fog.,[421][422]
